pincode, center_id, name
400101 ,685800, AKURLI MATERNITY KANDIVALI
400004 ,636886, H N Reliance Hosp MUMBAI 1
400051 ,628029, BKC COVID CENTER MUM SUBURBAN
400067 ,699403, Shyam Satsang Hall
400051 ,700170, Shivalik Venture Office
400084 ,705249, Bhanushali Hall AsalphaVillage
400077 ,561602, Rajawadi Hospital 1
400016 ,598818, S L Raheja Hosp
400072 ,719925, Madrasa Arabia Talimul P 162
400022 ,700373, Seth Ayurvedic Hospital
400074 ,695328, Gadkari Hp Videocon Atithi
400080 ,705073, Jain Shravak Sangh
400018 ,697151, NSCI DRIVE IN VACCINE CENTER
400055 ,700110, Raje Sambhaji Vidyalay
400006 ,27450, Banganga HP Center Camp
400060 ,696041, Squatter Colony HP- E Library
400016 ,691967, SHREE CINEMA MUN DISP MAHIM
400001 ,594089, CAMA SESSION 1
400061 ,704027, CWC Institute 59
400018 ,617404, R. A. Podar Medical College
400034 ,723106, Apollo Spectra Hospital Tardeo
400004 ,700256, Conwest Jain Hosp P 218
400064 ,700884, Sunder Nagar Dispensary
400012 ,598811, Global Hospital (Parel)
400009 ,694800, Najam Baug
400050 ,700624, Harmony Hall S. V .Road HP
400063 ,700894, Pahadi School
400055 ,701795, Sant Nirankari Bhavan P-88
400033 ,700316, Abhuyday Nagar School P 205
400013 ,695695, The World Tower MCGM Parkg
400101 ,23910, ESIS Gh Kandiwali
400043 ,659851, Shivaji Nagar Covid Centre
400057 ,654160, SHIRODKAR MATERNITY HOME PARLE
400058 ,561797, Cooper Hospital 1
400022 ,115907, MAA SAHEB MEENATAI MAT HOME
400028 ,694629, KOHINOOR PUB PARKING (DRIVE)
400008 ,579049, NAIR HOSPITAL- MUMBAI CITY
400097 ,637921, SK PATIL HOSPITAL MALAD MUMBAI
400011 ,699765, Mahanagarpalika Mudranalay 207
400071 ,702087, Gurjar Bhawan P -152 Chembur
400102 ,734866, K/W Millat Nursing Home
400016 ,698043, St Micheal Church CVC Mahim
400003 ,27436, Panjarpol HP SAIFEE Ambulence
400059 ,628062, SEVEN HIILS WESTERN ZONE
400064 ,718635, Inorbit Mall Drive IN
400071 ,613291, SURANA SETHIA HOSPITAL CHEMBUR
400037 ,702076, CGHS Wellness Center P 175
400007 ,700269, JSS Municipal School P 217
400027 ,698805, Lunava Bhavan (E )P 208
400060 ,705984, Shed Community Welfare Center
400099 ,694638, APHO MCGM CENTRE
400012 ,699507, Peru Compound School P 203
400011 ,583008, Kasturba Hospital 01
400051 ,695525, PWD COMMUNITY HALL H EAST
400068 ,583228, DAHISAR COVID JUMBO 1
400059 ,700243, Lokbharati Garden Marol HP
400010 ,597978, PRINCE ALI KHAN HOSPITAL 1
400063 ,578106, NESCO 1
400034 ,603706, SRCC Childrens Hospital
400074 ,620921, RCF Hospital
400043 ,690032, Deonar Maternity Home
400069 ,718799, Kamgar Kalyan Bhavan
400069 ,696510, K/W Andheri Sports Complex
400037 ,700718, Harmony Hall Gurunank P 176
400058 ,699606, Jankibai Hall
400005 ,733232, GD Somani School
400037 ,667305, Mumbai Port Trust
400086 ,116179, N Ward Sant Mukta Bai Hospital
400019 ,650950, URBAN HEALTH CENTER DHARAVI
400078 ,719967, Naval Hospital Bhandup West
400043 ,722734, Samaj Kalyan Mandir P-136
400003 ,710914, MUSLIM MOHALLA MASJID TRUST
400095 ,23682, Malwani Government Hosp.Malad
400057 ,696070, CKP Hall Vile Parle Prabhag 84
400058 ,698745, AMBOLISHWAR MANDIR HALL
400053 ,707972, Indian Oil Nagar
400097 ,582993, M W DESAI HOSPITAL 1
400064 ,612858, SURANA HOSPITAL 1
400002 ,27427, Chandanwadi Munci School Disp.
